Tempo (s),PWM,RPM
10.449,255.0,1860.0
10.459,255.0,1860.0
10.469,255.0,1830.0
10.479,255.0,1860.0
10.489,255.0,1860.0
10.499,255.0,1830.0
10.509,255.0,1830.0
10.519,255.0,1860.0
10.529,255.0,1830.0
10.54,255.0,1830.0
10.549,255.0,1860.0
10.559,255.0,1830.0
10.569,255.0,1830.0
10.579,255.0,1830.0
10.589,255.0,1860.0
10.599,255.0,1830.0
10.609,255.0,1830.0
10.619,255.0,1860.0
10.629,255.0,1830.0
10.639,255.0,1830.0
10.649,255.0,1860.0
10.659,255.0,1830.0
10.669,255.0,1830.0
10.679,255.0,1860.0
10.689,255.0,1830.0
10.699,255.0,1830.0
10.71,255.0,1830.0
10.719,255.0,1860.0
10.729,255.0,1830.0
10.739,255.0,1830.0
10.749,255.0,1830.0
10.759,255.0,1830.0
10.769,255.0,1830.0
10.779,255.0,1830.0
10.789,255.0,1830.0
10.799,255.0,1830.0
10.809,255.0,1830.0
10.819,255.0,1830.0
10.829,255.0,1800.0
10.839,255.0,1830.0
10.849,255.0,1830.0
10.859,255.0,1830.0
10.869,255.0,1830.0
10.88,255.0,1830.0
10.889,255.0,1800.0
10.899,255.0,1830.0
10.909,255.0,1830.0
10.919,255.0,1830.0
10.929,255.0,1830.0
10.939,255.0,1830.0
10.949,255.0,1830.0
10.959,255.0,1830.0
10.969,255.0,1830.0
10.979,255.0,1830.0
10.989,255.0,1800.0
10.999,255.0,1830.0
11.009,255.0,1830.0
11.019,255.0,1830.0
11.029,255.0,1800.0
11.039,255.0,1830.0
11.319,255.0,1830.0
11.329,255.0,1800.0
11.339,255.0,1830.0
11.35,255.0,1830.0
11.359,255.0,1800.0
11.369,255.0,1830.0
11.379,255.0,1800.0
11.389,255.0,1830.0
11.399,255.0,1800.0
11.409,255.0,1830.0
11.419,255.0,1800.0
11.429,255.0,1800.0
11.439,255.0,1830.0
11.449,255.0,1800.0
11.459,255.0,1800.0
11.469,255.0,1830.0
11.479,255.0,1800.0
11.489,255.0,1800.0
11.499,255.0,1800.0
11.509,255.0,1830.0
11.52,255.0,1800.0
11.529,255.0,1800.0
11.539,255.0,1830.0
11.549,255.0,1800.0
11.559,255.0,1800.0
11.569,255.0,1830.0
11.579,255.0,1800.0
11.589,255.0,1800.0
11.599,255.0,1830.0
11.609,255.0,1830.0
11.619,255.0,1800.0
11.629,255.0,1800.0
11.639,255.0,1830.0
11.649,255.0,1800.0
11.659,255.0,1830.0
11.669,255.0,1800.0
11.679,255.0,1830.0
11.689,255.0,1800.0
11.699,255.0,1830.0
11.709,255.0,1830.0
11.719,255.0,1800.0
11.729,255.0,1800.0
11.739,255.0,1800.0
11.749,255.0,1800.0
11.759,255.0,1800.0
11.769,255.0,1800.0
11.779,255.0,1800.0
11.789,255.0,1800.0
11.799,255.0,1800.0
11.809,255.0,1800.0
11.82,255.0,1740.0
11.829,255.0,1770.0
11.839,255.0,1770.0
11.849,255.0,1770.0
11.859,255.0,1740.0
11.869,255.0,1770.0
11.879,255.0,1740.0
11.889,255.0,1740.0
11.899,255.0,1740.0
11.909,255.0,1740.0
11.919,255.0,1740.0
11.929,255.0,1740.0
11.939,255.0,1770.0
11.949,255.0,1740.0
11.959,255.0,1740.0
11.969,255.0,1770.0
11.979,255.0,1740.0
11.99,255.0,1740.0
11.999,255.0,1770.0
12.009,255.0,1770.0
